公孫穴,效用: 改善脾胃功能,NULL,位置: 公孫穴位在族內側緣，第一蹠骨的前下方。,取穴方式: 請參考影片連結。,建議: 每日早晚都可按壓1次，搭配呼吸，壓時乎，鬆時吸，每次2~3分鐘，長期按壓此穴，有助脾胃功能。,NULL,資料來源: 《吳明珠教你養好脾 35歲就像25歲》 作者: 吳明珠,日常保健,NULL,0,0,https://www.youtube.com/watch?v=qL5yT9072bM,END
三陰交,效用: 改善各種婦科病,NULL,位置: 三陰交屬足太陰脾經，位於小腿內側，內踝高點上3寸脛骨內後緣。即，足內踝尖直上四橫指，脛骨後緣處。,取穴方法: 側坐或仰臥位。手4指併攏，小指下邊緣緊靠內踝尖上，示指上緣所在水平線與脛骨後緣的交點，按壓有酸脹感處即為此穴。,建議: 空閒時按壓3~5分鐘，搭配呼吸，壓時呼，鬆時吸，雙腳各20次，經常按即可見到功效。,三陰交指的就是有三條陰經氣血交會於此，是個極其重要的穴位，尤其對女人的婦科病，經常刺激此穴，具有保養治療的功能。,資料來源: 《吳明珠教你養好脾 35歲就像25歲》 作者: 吳明珠,日常保健,注意: 經期與懷孕時不能按壓,0,0,https://www.youtube.com/watch?v=L5Vxa4MGg74,END
氣海穴,效用：可以促進腹部氣血循環、改善腸道不適、胃下垂等症狀。,經痛、腹部發冷疼痛；疲勞、臉色差；便秘、先排出堅硬糞便,位置：位於肚臍下方1.5寸處，大約是兩根手指頭。,取穴方法: 把中指和食指併攏，放在肚臍眼下緣，往直下量取兩橫指，該處就是氣海穴。,NULL,NULL,資料來源:  健康2.0養生區,日常保健,NULL,0,0,https://www.youtube.com/watch?v=8kUPh_5HVLA,END
血海穴,效用：經常按摩此穴，可以養膚潤燥，防止皮膚瘙癢；調節氣血，減輕黃褐斑、雀斑、色素沉著；還可以幫助瘦小腿。,經痛、經血不易排出；寒症、臉色蒼白；腰痛、按壓腰部感到疼痛,位置：大腿近膝蓋內側髕底內側端上2吋內側肌隆起處,取穴方法: 坐在椅子上，將腿繃直，在膝蓋側會出現一個凹陷的地方，在凹陷的上方有一塊隆起的肌肉，肌肉的頂端就是血海穴。,建議: 在膝蓋內側上方三根手指的位置，用拇指端作揉法，或用拇指和食、中二指對稱作提拿法，拿3～5次，揉10～30次，這樣慢慢充分加以刺激，長期堅持可以幫助達到瘦小腿的目的。,NULL,資料來源:  https://kknews.cc/zh-tw/health/gzzz66y.html,日常保健,NULL,0,0,https://www.youtube.com/watch?v=FJVDR-nvpvg,END
合谷穴,效用：提升免疫力、治療疼痛、腸胃疾病、促進血循及五官科疾病(鼻炎，耳聾，耳鳴，眼瞼下垂，近視，眼睛腫痛等)且可以去風熱，治療各種皮膚病，皮膚瘙癢，蕁麻疹。 臉部青春痘。,NULL,位置：用大拇指按著食指，手上的肌肉就會形成隆起，此穴位於隆起處最高點。,取穴方式: 請參考影片連結。,建議: 以右手拇指按壓左手合谷穴(以左手拇指按壓右手合谷穴)，拇指指腹需朝向第二掌骨側(如圖)，以旋轉揉壓方式至痠脹30次，休息後再一循環，兩手交替共3循環。早中晚各3次。多按效果更佳。或是以木製或牛角製按摩棒按摩效果亦佳。亦是一個重要的養生大穴位。,NULL,資料來源:  https://www.businesstoday.com.tw/article-content-80731-107662-%E5%A4%A9%E4%B8%8B%E7%AC%AC%E4%B8%80%E7%A9%B4%EF%BC%8C%E4%BD%A0%E6%8C%89%E5%B0%8D%E4%BA%86%E5%97%8E%EF%BC%9F,日常保健,注意事項: 懷孕期間禁用此穴。,0,0,https://www.youtube.com/watch?v=Ne-Ejbf5Cc4,END
曲池穴,效用：這個穴道可以提高免疫力，是治療持續感染最有效的穴道之一。曲池穴可以解熱，例如高燒、潮熱、有灼熱感的腹瀉引起的發熱；還可以緩解溼熱皮疹，例如粉刺、蕁麻疹和帶狀皰疹；對血液循環問題也很有用，例如貧血。最後，曲池穴可以用來治療顫抖症和網球肘。,頭部充血、大量發汗；便秘 、排出粒狀硬便,位置：彎曲手肘，此穴位於手肘外側的肘窩橫紋盡頭。,NULL,NULL,NULL,資料來源:  健康2.0養生區,日常保健,NULL,0,0,NULL,END
列缺穴,效用：列缺穴是很好的穴道，可以緩解氣喘與呼吸急促。在治療任何跟頭部與後頸有關的病症時，例如偏頭痛，這也是關鍵的穴道。列缺穴主掌疏風，可避免痙攣、抽搐和貝爾氏麻痹症（Bell's palsy）。此外，在治療忽冷忽熱、流鼻水、喉嚨癢與喉嚨痛、打噴嚏和身體疼痛等風邪入侵的疾病時，這個穴道也很有療效。,感冒、寒氣較強；鼻水、鼻塞、流量多稀薄的鼻水,位置：翹起大拇指，盡量伸長，遠離掌心。在大拇指底端、靠近手腕處，會出現凹陷處。從這裡往手臂下大約一根大拇指長（不是一寸，大拇指寬度才是指寸），你會發現另一支凸出的骨頭，列缺穴就在那兩條肌腱之間。,NULL,NULL,NULL,資料來源:  健康2.0養生區,日常保健,NULL,0,0,NULL,END
神門穴,效用：這個穴道可以在過度思考引發焦慮時寧心安神，讓人放鬆，還可以緩解因為過度興奮導致的失眠。神門穴也可以調和身體機能，平衡情緒，強化靈性（或稱「安神」），藉此減少心悸，調節心律。,失眠、全身無力；心悸、心悸且嘴唇泛紫,位置：掌心向上，位於腕關節內側、豌豆骨上緣（距離小指那一側的手腕約一寸）。,NULL,NULL,NULL,資料來源:  健康2.0養生區,日常保健,NULL,0,0,NULL,END
足三里穴,效用：足三里穴可以修復並建立脾胃中的消化能量，古代中醫師非常尊崇足三里穴治療所有疾病的能力。這個穴道最有名的功能是緩解消化問題，包括便秘、脹氣、腫脹、噁心、腹瀉、腹痛和腹脹，也可以用來治療關節炎與老化衰弱造成的問題。,疲勞、臉色差、無食慾；中暑、梅雨季食慾低落；寒症、臉色蒼白；失眠、全身無力；鼻水、鼻塞、流水狀鼻水；目眩、呼吸困難；肩膀酸痛、僵硬無肩痛感覺；胃痛、暴飲暴食引起胃痛；心悸、運動時心悸,位置：位於膝蓋骨下方三寸，脛骨前緣一指寬之處。,NULL,NULL,NULL,資料來源:  健康2.0養生區https://health.tvbs.com.tw/regimen/309705,日常保健,NULL,0,0,NULL,END
委中穴,效用：這個穴道對於緩解背部疼痛（包括急性腰痛）、肌肉痙攣、扭傷、膝蓋僵硬和腿痛很有效，也可以用來治療關節炎、皮膚病（發癢、炎症），以及發熱症狀，例如熱衰竭和中暑。,腰背痛、治療下肢痿痺、風濕性膝關節炎、腓腸肌痙攣、小腿抽筋、脖子酸痛、臀部疼痛、膝蓋疼痛等腰及下肢病證；坐骨神經痛、腦血管病後遺症、癲癇；腹痛、急性吐瀉、急性胃腸炎、腸炎、腹痛；小便不利、遺尿、尿瀦留；丹毒、濕疹、風疹、蕁麻疹、牛皮癬、癤瘡,位置：位於膝蓋後方橫紋的中心點。,NULL,NULL,NULL,資料來源:  健康2.0養生區https://health.tvbs.com.tw/regimen/309706,日常保健,NULL,0,0,NULL,END
太衝穴,效用：這個穴道主掌氣的疏泄，釋放受到抑制的能量。否則，一旦能量受到抑制，就會讓人易怒、挑釁、焦慮、憂鬱，引發緊張型頭痛和經前症候群（包括乳房脹痛）。太衝穴可以緩解整體緊繃與緊張，藉此滋養肌腱和韌帶。這個穴道對緩解高血壓、治療失眠、甚至糖尿病的療效也十分出名。,目眩、目眩兼手足發燙；頭部充血、情緒浮躁；肩膀酸痛、肩痛、容易感到焦躁；胃痛、因壓力引起胃痛；排尿障礙、總是有殘尿感；慢性下痢、因壓力而下痢,位置：位於腳背的第一（最大）、第二蹠骨之間，距離大腳趾大約三寸。,NULL,NULL,NULL,資料來源:  健康2.0養生區https://health.tvbs.com.tw/regimen/309707,日常保健,NULL,0,0,NULL,END
陽陵泉穴,功用：這個穴道可以降氣逆，否則，一旦氣往上逆流到頭部，就會引發失眠、偏頭痛和焦慮發作。陽陵泉穴可以用來治療消化不良、噁心、嘔吐、口苦，預防膽結石。在治療抽筋、痙攣與腰、臀部、膝蓋、大腿肌肉等其他病症，緩解疼痛與坐骨神經痛時，陽陵泉穴也很有療效。,寒症、嘴唇發紫；肩膀酸痛、肩痛、容易感到焦躁；便秘、腹部鼓脹,位置：位於大腿外側、膝蓋下方，腓骨頭前側下方約一寸的凹陷處。,NULL,NULL,NULL,資料來源:  健康2.0養生區https://health.tvbs.com.tw/regimen/309708,日常保健,NULL,0,0,NULL,END
三陰交穴,效用：這個穴道可以補脾土，促進脾造血。在治療婦科疾病、性失衡、泌尿系統失衡、消化系統失衡和情緒失衡時，這是關鍵穴道。三陰交通常用來治療焦慮、失眠、頭痛和經痛，也是緩解沉重感與倦怠感的重要穴道。懷孕期間禁用此穴。,肩膀酸痛、按壓時感到疼痛；腰痛、按壓腰部感到疼痛；寒症、嘴唇發紫；頭痛、刺痛性頭痛,位置：位於小腿內側、腓骨後側，踝骨頂端往上約一個手掌寬之處。,NULL,NULL,NULL,資料來源:  健康2.0養生區https://health.tvbs.com.tw/regimen/309709,日常保健,NULL,0,0,NULL,END
湧泉穴,效用：這個穴道對於接地氣和連結大地能量有很大的幫助。透過這種方式，湧泉穴可以讓人寧心，撫慰受到驚嚇或高度焦慮的人。這個穴道可以用來治療頭痛、高血壓、腹瀉和失眠，也是滋生內在陽氣的關鍵穴道，對老年人尤其重要。,頭部充血、夜間臉部發燙,位置：位於腳底的第二與第三腳趾之間，在第二腳趾底部與腳後跟的中間約三分之一處；當腳趾往下彎曲時，腳底的凹陷處就是湧泉穴。,NULL,NULL,NULL,資料來源:  健康2.0養生區https://health.tvbs.com.tw/regimen/309710,日常保健,NULL,0,0,NULL,END
